CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_MUN_Unique,NOM_ENT_Clean,NOM_MUN_Clean,KEY_inegi,best_match,match_score,ESTADO_Clean,MUNICIPIO_Clean,KEY_prod
,México,,acambay de ruiz castaneda,,mexico,acambay de ruiz castaneda,mexico-acambay de ruiz castaneda,,0,mexico,acambay,mexico-acambay
,chihuahua,,dr belisario dominguez,,chihuahua,dr belisario dominguez,chihuahua-dr belisario dominguez,,0,chihuahua,dr belisario dominguez,chihuahua-dr belisario dominguez
,Chiapas,,Cintalapa de Figueroa,,chiapas,cintalapa de figueroa,chiapas-cintalapa de figueroa,,0,chiapas,cintalapa,chiapas-cintalapa
,Morelos,,Jonacatepec de Leandro Valle,,morelos,jonacatepec de leandro valle,morelos-jonacatepec de leandro valle,,0,morelos,jonacatepec,morelos-jonacatepec
,OAXACA,,Heroica Villa de San Blas Atempa,,oaxaca,heroica villa de san blas atempa,oaxaca-heroica villa de san blas atempa,,0,oaxaca,san blas atempa,oaxaca-san blas atempa
,OAXACA,,San Juan Mixtepec,,oaxaca,san juan mixtepec,oaxaca-san juan mixtepec,,0,oaxaca,san juan mixtepec -dto. 08 -,oaxaca-san juan mixtepec -dto. 08 -
,OAXACA,,San Juan Mixtepec,,oaxaca,san juan mixtepec,oaxaca-san juan mixtepec,,0,oaxaca,san juan mixtepec -dto. 26 -,oaxaca-san juan mixtepec -dto. 26 -
,OAXACA,,San Juan Mixtepec,,oaxaca,san juan mixtepec,oaxaca-san juan mixtepec,,0,oaxaca,san pedro mixtepec -dto. 22 -,oaxaca-san pedro mixtepec -dto. 22 -
,OAXACA,,San Juan Mixtepec,,oaxaca,san juan mixtepec,oaxaca-san juan mixtepec,,0,oaxaca,san pedro mixtepec -dto. 26 -,oaxaca-san pedro mixtepec -dto. 26 -
,OAXACA,,Villa de Santiago Chazumba,,oaxaca,villa de santiago chazumba,oaxaca-villa de santiago chazumba,,0,oaxaca,santiago chazumba,oaxaca-santiago chazumba
