KEY_benef_loc;match_score;KEY_inegi_localidad
pungarabato-seminario diocesano la anunciacion de maria;86;pungarabato-ciudad altamirano
arcelia-colonia emperador cuauhtemoc;86;arcelia-arcelia
pungarabato-monasterio hermanas clsas. de maria madre de la misericordia;86;pungarabato-ciudad altamirano
arcelia-reforma de lazaro cardenas (el aterrizaje);86;arcerlia-la reforma / arcelia-nueva reforma 
arcelia-colonia progreso;86;arcelia-el progreso zapotitlan 
acatepec-plan de palo viejo (loma vista);86;acatepec-plan de buena vista 
teloloapan-cacaloxtitlan (los tepetates);86;teloloapan-teloloapan
jonacatepec-amacuitlapilco;86;jonacatepec de leandro valle-amacuitlapilco
jonacatepec-tetelilla;86;jonacatepec de leandro valle-amacuitlapilco
jonacatepec-jonacatepec;86;jonacatepec de leandro valle-amacuitlapilco
jonacatepec-tlayca;86;jonacatepec de leandro valle-amacuitlapilco
jonacatepec-colonia juarez;86;jonacatepec de leandro valle-colonia juarez 
ixtenco-barrio de resurreccion segundo;86;ixtenco-ixtenco
tlaxco-colonia profesor graciano sanchez;86;tlaxco-graciano sanchez 
tlaxco-la rayuela (las mesas y la palma);86;tlaxco-antonio rodriguez la rayuela
san pablo del monte-villa vicente guerrero;86;san pablo del monte-ciudad de san pablo del monte
tlaxco-ejido de san agustin tlaxco;86;tlaxco-tlaxco
tlaxco-rancheria ojo de agua;86;tlaxco-ojo de agua 
atltzayanca-el palmar;86;atltzayanca-atlzayanca
atltzayanca-barrio de guadalupe;86;atltzayanca-guadalupe (rancho)
atltzayanca-santa cruz [rancho];87;atltzayanca-santa cruz pocitos
teloloapan-el mirador (parada de oxtotitlan);90;teloloapan-el mirador
san marcos-altamira (el frijolar);90;san marcos-altamira
tetipac-el llano (san gregorio);90;tetipac-el llano
petatlan-la morena de arriba;90;petatlan-la morena
tlaxco-las mesas [rancheria];90;tlaxco-las mesas
tlaxco-lagunillas [granja bovina];90;tlaxco-lagunilla
yauhquemehcan-san jose tepoxtla;92;tlaxco-san jose tetel 
florencio villarreal-colonia agricola;93;florencio villarreal-la agricola
ayutla de los libres-ahuacachahue (ndog'yo itun tichi);95;ayutla de los libres-ayutla de los libres
chilapa de alvarez-tenexatlajco (tenexatlaco);95;chilapa de alvarez-chilapa de alvarez
tecoanapa-buenavista de allende (buenavista);95;tecoanapa-buenavista de allende
tecpan de galeana-naranjitos;95;tecpan de galeana-los naranjos 
coyuca de benitez-posquelitito;95;coyuca de benitez-el posquelite 
teloloapan-oxtotitlan i;95;teloloapan-oxtotitlan
tecpan de galeana-ojo de agua;95;tecpan de galeana-el ojo de agua
metlatonoc-el coyul;95;metlatonoc-el coyulito
ayutla de los libres-ojo de agua (xa'a kava yaa);95;ayutla de los libres-ayutla de los libres
ayutla de los libres-el platanar (san antonio);95;ayutla de los libres-ayutla de los libres
cutzamala de pinzon-el coyolito (el coyol);95;cutzamala de pinzon-cutzamala de pinzon
zitlala-huiscomulco;95;zitlala-huixcomulco
zirandaro-parota del cuartel;95;zirandaro-la parota del cuartel
acapulco de juarez-el puente;95;acapulco de juarez-acapulco de juarez
taxco de alarcon-los cajones;95;taxco de alarcon-cajones
iguala de la independencia-colonia rancho del cura (el cura);95;iguala de la independencia-iguala de la independencia
san marcos-las lomitas de nexpa (las lomitas);95;san marcos-las lomitas de nexpa
buenavista de cuellar-la huizachera;95;buenavista de cuellar-buenavista de cuellar
tlalchapa-el tamarindo;95;tlalchapa-el tamarindo del rio
cuajinicuilapa-punta maldonado (el faro);95;cuajinicuilapa-cuajinicuilapa
coyuca de catalan-las crucitas;95;coyuca de catalán-las cruces 
taxco de alarcon-joyas del progreso;95;taxco de alarcon-las joyas del progreso
ajuchitlan del progreso-pueblito nuevo;95;ajuchitlan del progreso-barrio nuevo / ajuchitlan del progreso-rancho nuevo 
acapulco de juarez-el albergue;95;acapulco de juarez-hacienda renacer el albergue 
taxco de alarcon-colonia las martelas;95;taxco de alarcon-martelas
san marcos-espinalillo del tenante (espinalillo);95;san marcos-espinalillo del tenante
metlatonoc-yutimi;95;metlatonoc-metlatonoc
san marcos-chamizal;95;san marcos-el chamizal
xochihuehuetlan-ninguno;95;xochihuehuetlan-xochihuehuetlan
tlapa de comonfort-rancho anastacio avelino;95;tlapa de comonfort-tlapa de comonfort
