KEY_benef_mun,KEY_inegi_municipio
nacional-nacional,guanajuato-dolores hidalgo cuna de la independencia nacional
guerrero-azoyu,guerrero-azoyu
guerrero-tecoanapa,guerrero-tecoanapa
guerrero-teloloapan,guerrero-teloloapan
guerrero-san miguel totolapan,guerrero-san miguel totolapan
guerrero-coyuca de catalan,guerrero-coyuca de catalan
guerrero-la union de isidoro montes de oca,guerrero-la union de isidoro montes de oca
guerrero-martir de cuilapan,guerrero-martir de cuilapan
guerrero-tlalchapa,guerrero-tlalchapa
guerrero-chilpancingo de los bravo,guerrero-chilpancingo de los bravo
guerrero-ayutla de los libres,guerrero-ayutla de los libres
guerrero-zitlala,guerrero-zitlala
guerrero-petatlan,guerrero-petatlan
guerrero-olinala,guerrero-olinala
guerrero-juan r. escudero,guerrero-juan r. escudero
guerrero-general heliodoro castillo,guerrero-general heliodoro castillo
guerrero-leonardo bravo,guerrero-leonardo bravo
guerrero-ometepec,guerrero-ometepec
guerrero-acatepec,guerrero-acatepec
guerrero-alcozauca de guerrero,guerrero-alcozauca de guerrero
guerrero-tixtla de guerrero,guerrero-tixtla de guerrero
guerrero-tlapehuala,guerrero-tlapehuala
guerrero-chilapa de alvarez,guerrero-chilapa de alvarez
guerrero-zirandaro,guerrero-zirandaro
guerrero-acapulco de juarez,guerrero-acapulco de juarez
guerrero-atoyac de alvarez,guerrero-atoyac de alvarez
guerrero-coyuca de benitez,guerrero-coyuca de benitez
guerrero-huitzuco de los figueroa,guerrero-huitzuco de los figueroa
guerrero-ajuchitlan del progreso,guerrero-ajuchitlan del progreso
guerrero-quechultenango,guerrero-quechultenango
guerrero-tlapa de comonfort,guerrero-tlapa de comonfort
guerrero-benito juarez,guerrero-benito juarez
guerrero-zihuatanejo de azueta,guerrero-zihuatanejo de azueta
guerrero-san luis acatlan,guerrero-san luis acatlan
guerrero-coahuayutla de jose maria izazaga,guerrero-coahuayutla de jose maria izazaga
guerrero-cuetzala del progreso,guerrero-cuetzala del progreso
guerrero-eduardo neri,guerrero-eduardo neri
guerrero-arcelia,guerrero-arcelia
guerrero-copanatoyac,guerrero-copanatoyac
guerrero-taxco de alarcon,guerrero-taxco de alarcon
guerrero-ahuacuotzingo,guerrero-ahuacuotzingo
guerrero-zapotitlan tablas,guerrero-zapotitlan tablas
guerrero-xalpatlahuac,guerrero-xalpatlahuac
guerrero-cutzamala de pinzon,guerrero-cutzamala de pinzon
guerrero-tecpan de galeana,guerrero-tecpan de galeana
guerrero-metlatonoc,guerrero-metlatonoc
guerrero-tlacoachistlahuaca,guerrero-tlacoachistlahuaca
guerrero-malinaltepec,guerrero-malinaltepec
guerrero-tepecoacuilco de trujano,guerrero-tepecoacuilco de trujano
guerrero-pungarabato,guerrero-pungarabato
guerrero-pedro ascencio alquisiras,guerrero-pedro ascencio alquisiras
guerrero-tlalixtaquilla de maldonado,guerrero-tlalixtaquilla de maldonado
guerrero-jose joaquin de herrera,guerrero-jose joaquin de herrera
guerrero-cuajinicuilapa,guerrero-cuajinicuilapa
guerrero-xochistlahuaca,guerrero-xochistlahuaca
guerrero-atlamajalcingo del monte,guerrero-atlamajalcingo del monte
guerrero-san marcos,guerrero-san marcos
guerrero-atenango del rio,guerrero-atenango del rio
guerrero-pilcaya,guerrero-pilcaya
guerrero-tetipac,guerrero-tetipac
guerrero-iliatenco,guerrero-iliatenco
guerrero-huamuxtitlan,guerrero-huamuxtitlan
guerrero-apaxtla,guerrero-apaxtla
guerrero-juchitan,guerrero-juchitan
guerrero-florencio villarreal,guerrero-florencio villarreal
guerrero-general canuto a. neri,guerrero-general canuto a. neri
guerrero-atlixtac,guerrero-atlixtac
guerrero-buenavista de cuellar,guerrero-buenavista de cuellar
guerrero-cuautepec,guerrero-cuautepec
guerrero-iguala de la independencia,guerrero-iguala de la independencia
guerrero-mochitlan,guerrero-mochitlan
guerrero-alpoyeca,guerrero-alpoyeca
guerrero-cocula,guerrero-cocula
guerrero-marquelia,guerrero-marquelia
guerrero-cochoapa el grande,guerrero-cochoapa el grande
guerrero-tlacoapa,guerrero-tlacoapa
guerrero-copala,guerrero-copala
guerrero-igualapa,guerrero-igualapa
guerrero-ixcateopan de cuauhtemoc,guerrero-ixcateopan de cuauhtemoc
guerrero-copalillo,guerrero-copalillo
guerrero-xochihuehuetlan,guerrero-xochihuehuetlan
guerrero-cualac,guerrero-cualac
