ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
CHIAPAS,chiapas-cintalapa-cintalapa de figueroa,chiapas-cintalapa de figueroa-cintalapa de figueroa,chiapas-cintalapa de figueroa-cintalapa de figueroa
CHIAPAS,chiapas-cintalapa-tehuacan,chiapas-cintalapa de figueroa-tehuacan,chiapas-cintalapa de figueroa-tehuacan
CHIAPAS,chiapas-cintalapa-abelardo l. rodriguez,chiapas-cintalapa de figueroa-abelardo l. rodriguez,chiapas-cintalapa de figueroa-abelardo l. rodriguez
CHIAPAS,chiapas-cintalapa-pomposo castellanos,chiapas-cintalapa de figueroa-pomposo castellanos,chiapas-cintalapa de figueroa-pomposo castellanos
CHIAPAS,chiapas-comitan de dominguez-la merced,chiapas-comitan de dominguez-comitan de dominguez,chiapas-comitan de dominguez-comitan de dominguez
CHIAPAS,chiapas-las margaritas-chamentik,chiapas-las margaritas-las margaritas,chiapas-las margaritas-las margaritas
CHIAPAS,chiapas-cintalapa-diez de abril,chiapas-cintalapa de figueroa-diez de abril,chiapas-cintalapa de figueroa-diez de abril
CHIAPAS,chiapas-cintalapa-nueva tenochtitlan (rizo de oro),chiapas-cintalapa de figueroa-nueva tenochtitlan (rizo de oro),chiapas-cintalapa de figueroa-nueva tenochtitlan (rizo de oro)
CHIAPAS,chiapas-cintalapa-merida,chiapas-acacoyagua-playa ines seccion uno,chiapas-acacoyagua-playa ines seccion uno
CHIAPAS,chiapas-cintalapa-villamorelos,chiapas-cintalapa de figueroa-villamorelos,chiapas-cintalapa de figueroa-villamorelos
CHIAPAS,chiapas-simojovel-lazaro cardenas,chiapas-acacoyagua-maria esther zuno de echeverria,chiapas-acacoyagua-maria esther zuno de echeverria
CHIAPAS,chiapas-tapachula-veinte de noviembre,chiapas-tapalapa-veinte de noviembre,chiapas-tapalapa-veinte de noviembre
CHIAPAS,chiapas-cintalapa-emiliano zapata,chiapas-cintalapa de figueroa-emiliano zapata,chiapas-cintalapa de figueroa-emiliano zapata
CHIAPAS,chiapas-cintalapa-emiliano zapata,chiapas-cintalapa de figueroa-emiliano zapata,chiapas-cintalapa de figueroa-emiliano zapata
CHIAPAS,chiapas-cintalapa-rosendo salazar,chiapas-cintalapa de figueroa-rosendo salazar,chiapas-cintalapa de figueroa-rosendo salazar
CHIAPAS,chiapas-cintalapa-francisco i. madero,chiapas-cintalapa de figueroa-francisco i. madero,chiapas-cintalapa de figueroa-francisco i. madero
CHIAPAS,chiapas-las margaritas-san luis,chiapas-las margaritas-las margaritas,chiapas-las margaritas-las margaritas
CHIAPAS,chiapas-cintalapa-roberto barrios,chiapas-cintalapa de figueroa-roberto barrios,chiapas-cintalapa de figueroa-roberto barrios
CHIAPAS,chiapas-venustiano carranza-san pedro,chiapas-venustiano carranza-venustiano carranza,chiapas-venustiano carranza-venustiano carranza
CHIAPAS,chiapas-cintalapa-las canoitas primera,chiapas-cintalapa de figueroa-las canoitas primera,chiapas-cintalapa de figueroa-las canoitas primera
CHIAPAS,chiapas-ocotepec-rio frio tumbac dos,chiapas-ocotepec-ocotepec,chiapas-ocotepec-ocotepec
CHIAPAS,chiapas-cintalapa-palomares,chiapas-cintalapa de figueroa-palomares,chiapas-cintalapa de figueroa-palomares
CHIAPAS,chiapas-cintalapa-vista hermosa,chiapas-cintalapa de figueroa-vista hermosa,chiapas-cintalapa de figueroa-vista hermosa
CHIAPAS,chiapas-cintalapa-vista hermosa,chiapas-cintalapa de figueroa-vista hermosa,chiapas-cintalapa de figueroa-vista hermosa
CHIAPAS,chiapas-las margaritas-san marcos ojo de agua,chiapas-las margaritas-las margaritas,chiapas-las margaritas-las margaritas
CHIAPAS,chiapas-cintalapa-el carmen,chiapas-cintalapa de figueroa-el carmen,chiapas-cintalapa de figueroa-el carmen
CHIAPAS,chiapas-cintalapa-el carmen,chiapas-cintalapa de figueroa-el carmen,chiapas-cintalapa de figueroa-el carmen
CHIAPAS,chiapas-huixtan-adolfo lopez mateos,chiapas-huehuetan-adolfo lopez mateos,chiapas-huehuetan-adolfo lopez mateos
CHIAPAS,chiapas-marques de comillas-emiliano zapata,chiapas-acacoyagua-arvin,chiapas-acacoyagua-arvin
CHIAPAS,chiapas-cintalapa-las merceditas,chiapas-cintalapa de figueroa-las merceditas,chiapas-cintalapa de figueroa-las merceditas
CHIAPAS,chiapas-cintalapa-estoracon,chiapas-cintalapa de figueroa-estoracon,chiapas-cintalapa de figueroa-estoracon
CHIAPAS,chiapas-honduras de la sierra-buenos aires,chiapas-honduras de la sierra-honduras de la sierra,chiapas-honduras de la sierra-honduras de la sierra
CHIAPAS,chiapas-san fernando-emiliano zapata,chiapas-san fernando-san fernando,chiapas-san fernando-san fernando
CHIAPAS,chiapas-cintalapa-triunfo de madero,chiapas-cintalapa de figueroa-triunfo de madero,chiapas-cintalapa de figueroa-triunfo de madero
CHIAPAS,chiapas-cintalapa-lazaro cardenas,chiapas-cintalapa de figueroa-lazaro cardenas,chiapas-cintalapa de figueroa-lazaro cardenas
CHIAPAS,chiapas-salto de agua-francisco i. madero,chiapas-salto de agua-salto de agua,chiapas-salto de agua-salto de agua
CHIAPAS,chiapas-cintalapa-jacinto tirado,chiapas-cintalapa de figueroa-jacinto tirado,chiapas-cintalapa de figueroa-jacinto tirado
CHIAPAS,chiapas-las rosas-zacualpa,chiapas-las rosas-las rosas,chiapas-las rosas-las rosas
CHIAPAS,chiapas-cintalapa-esperanza de los pobres,chiapas-cintalapa de figueroa-esperanza de los pobres,chiapas-cintalapa de figueroa-esperanza de los pobres
CHIAPAS,chiapas-zinacantan-apas,chiapas-zinacantan-apaz,chiapas-zinacantan-apaz
CHIAPAS,chiapas-pijijiapan-cerro la encomienda,chiapas-pijijiapan-cerro de la encomienda,chiapas-pijijiapan-cerro de la encomienda
CHIAPAS,chiapas-tonala-san francisco el ocatal,chiapas-tonala-san francisco el ocotal,chiapas-tonala-san francisco el ocotal
CHIAPAS,chiapas-union juarez-santo domingo,chiapas-union juarez-union juarez,chiapas-union juarez-union juarez
CHIAPAS,chiapas-belisario dominguez-flor de chiapas,chiapas-salto de agua-belisario dominguez,chiapas-salto de agua-belisario dominguez
CHIAPAS,chiapas-villa comaltitlan-siete piedras,chiapas-villa comaltitlan-villa comaltitlan,chiapas-villa comaltitlan-villa comaltitlan
CHIAPAS,chiapas-tapachula-santa rosalia,chiapas-tapachula-fraccion santa rosalia 2,chiapas-tapachula-fraccion santa rosalia 2
CHIAPAS,chiapas-soyalo-emiliano zapata,chiapas-soyalo-soyalo,chiapas-soyalo-soyalo
CHIAPAS,chiapas-mazatan-las varillas,chiapas-mazatan-mazatan,chiapas-mazatan-mazatan
CHIAPAS,chiapas-cintalapa-yerbasanta,chiapas-cintalapa de figueroa-yerbasanta,chiapas-cintalapa de figueroa-yerbasanta
CHIAPAS,chiapas-cintalapa-los limones,chiapas-cintalapa de figueroa-los limones,chiapas-cintalapa de figueroa-los limones
CHIAPAS,chiapas-cintalapa-los limones,chiapas-cintalapa de figueroa-los limones,chiapas-cintalapa de figueroa-los limones
CHIAPAS,chiapas-cintalapa-los limones,chiapas-cintalapa de figueroa-los limones,chiapas-cintalapa de figueroa-los limones
CHIAPAS,chiapas-cintalapa-los limones,chiapas-cintalapa de figueroa-los limones,chiapas-cintalapa de figueroa-los limones
CHIAPAS,chiapas-chiapilla-el carmen,chiapas-chiapilla-chiapilla,chiapas-chiapilla-chiapilla
CHIAPAS,chiapas-cintalapa-las casitas,chiapas-cintalapa de figueroa-las casitas,chiapas-cintalapa de figueroa-las casitas
CHIAPAS,chiapas-cintalapa-adolfo lopez mateos,chiapas-cintalapa de figueroa-adolfo lopez mateos,chiapas-cintalapa de figueroa-adolfo lopez mateos
CHIAPAS,chiapas-cintalapa-los horcones,chiapas-cintalapa de figueroa-los horcones,chiapas-cintalapa de figueroa-los horcones
