ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
DURANGO,durango-poanas-los angeles,durango-durango-los angeles,durango-durango-los angeles
DURANGO,durango-topia-las adjuntas,durango-topia-topia,durango-topia-topia
DURANGO,durango-coneto de comonfort-el porvenir,durango-coneto de comonfort-coneto de comonfort,durango-coneto de comonfort-coneto de comonfort
DURANGO,durango-rodeo-abasolo,durango-rodeo-rodeo,durango-rodeo-rodeo
DURANGO,durango-cuencame-cuencame de ceniceros,durango-canatlan-canatlan,durango-canatlan-canatlan
DURANGO,durango-penon blanco-las cruces,durango-penon blanco-penon blanco,durango-penon blanco-penon blanco
DURANGO,durango-cuencame-emiliano zapata,durango-canatlan-jose guadalupe aguilera (la granja),durango-canatlan-jose guadalupe aguilera (la granja)
DURANGO,durango-santiago papasquiaro-las palmas,durango-santiago papasquiaro-santiago papasquiaro,durango-santiago papasquiaro-santiago papasquiaro
DURANGO,durango-guanacevi-san pedro,durango-guanacevi-guanacevi,durango-guanacevi-guanacevi
DURANGO,durango-topia-los pinos,durango-topia-topia,durango-topia-topia
DURANGO,durango-santiago papasquiaro-jardines de santiago,durango-santiago papasquiaro-santiago papasquiaro,durango-santiago papasquiaro-santiago papasquiaro
DURANGO,durango-mezquital-san pedro de xicora,durango-mezquital-san pedro de xicoras,durango-mezquital-san pedro de xicoras
DURANGO,durango-nazas-benito juarez,durango-nazas-nazas,durango-nazas-nazas
DURANGO,durango-guadalupe victoria-rancho buena vista,durango-guadalupe victoria-guadalupe victoria,durango-guadalupe victoria-guadalupe victoria
DURANGO,durango-durango-fraccionamiento los pinos,durango-durango-los pinos [fraccionamiento],durango-durango-los pinos [fraccionamiento]
