ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
GUERRERO,guerrero-tecpan de galeana-santa maria,guerrero-tecpan de galeana-tecpan de galeana,guerrero-tecpan de galeana-tecpan de galeana
GUERRERO,guerrero-san luis acatlan-el carmen,guerrero-san luis acatlan-san luis acatlan,guerrero-san luis acatlan-san luis acatlan
GUERRERO,guerrero-ayutla de los libres-la concordia,guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
GUERRERO,guerrero-ayutla de los libres-ahuacachahue (ndog'yo itun tichi),guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
GUERRERO,guerrero-ayutla de los libres-san antonio abad,guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
GUERRERO,guerrero-atoyac de alvarez-el paraiso,guerrero-atoyac de alvarez-atoyac de alvarez,guerrero-atoyac de alvarez-atoyac de alvarez
GUERRERO,guerrero-cuajinicuilapa-buenos aires,guerrero-cuajinicuilapa-cuajinicuilapa,guerrero-cuajinicuilapa-cuajinicuilapa
GUERRERO,guerrero-ayutla de los libres-el mesoncillo,guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
GUERRERO,guerrero-zitlala-coacoyul,guerrero-zitlala-zitlala,guerrero-zitlala-zitlala
GUERRERO,guerrero-tecpan de galeana-platanillo,guerrero-tecpan de galeana-platanito,guerrero-tecpan de galeana-platanito
GUERRERO,guerrero-igualapa-acalmani,guerrero-igualapa-igualapa,guerrero-igualapa-igualapa
GUERRERO,guerrero-chilpancingo de los bravo-la haciendita,guerrero-chilpancingo de los bravo-chilpancingo de los bravo,guerrero-chilpancingo de los bravo-chilpancingo de los bravo
GUERRERO,guerrero-san marcos-las vigas,guerrero-san marcos-san marcos,guerrero-san marcos-san marcos
GUERRERO,guerrero-chilapa de alvarez-xicaixtlahuac (la laguna),guerrero-chilapa de alvarez-chilapa de alvarez,guerrero-chilapa de alvarez-chilapa de alvarez
GUERRERO,guerrero-juchitan-agua zarca,guerrero-juchitan-juchitan,guerrero-juchitan-juchitan
GUERRERO,guerrero-tecoanapa-buenavista de allende (buenavista),guerrero-tecoanapa-buenavista de allende,guerrero-tecoanapa-buenavista de allende
GUERRERO,guerrero-pungarabato-seminario diocesano la anunciacion de maria,guerrero-acapulco de juarez-agua del perro,guerrero-acapulco de juarez-agua del perro
GUERRERO,guerrero-malinaltepec-tierra colorada,guerrero-malinaltepec-malinaltepec,guerrero-malinaltepec-malinaltepec
GUERRERO,guerrero-malinaltepec-el rincon (santa cruz del rincon),guerrero-santa cruz del rincon-santa cruz del rincon,guerrero-santa cruz del rincon-santa cruz del rincon
GUERRERO,guerrero-malinaltepec-el cocoyul,guerrero-malinaltepec-malinaltepec,guerrero-malinaltepec-malinaltepec
GUERRERO,guerrero-quechultenango-barrio nuevo,guerrero-quechultenango-quechultenango,guerrero-quechultenango-quechultenango
GUERRERO,guerrero-quechultenango-el aguacate,guerrero-quechultenango-quechultenango,guerrero-quechultenango-quechultenango
GUERRERO,guerrero-san miguel totolapan-san jose,guerrero-san miguel totolapan-san miguel totolapan,guerrero-san miguel totolapan-san miguel totolapan
GUERRERO,guerrero-tecpan de galeana-naranjitos,guerrero-tecpan de galeana-tecpan de galeana,guerrero-tecpan de galeana-tecpan de galeana
GUERRERO,guerrero-arcelia-colonia emperador cuauhtemoc,guerrero-acapulco de juarez-san pedro cacahuatepec (vereda de amatillo),guerrero-acapulco de juarez-san pedro cacahuatepec (vereda de amatillo)
GUERRERO,guerrero-coyuca de benitez-el zapote,guerrero-coyuca de benitez-coyuca de benitez,guerrero-coyuca de benitez-coyuca de benitez
GUERRERO,guerrero-san miguel totolapan-santa elena,guerrero-san miguel totolapan-san miguel totolapan,guerrero-san miguel totolapan-san miguel totolapan
GUERRERO,guerrero-general heliodoro castillo-campo morado,guerrero-general heliodoro castillo-el morro,guerrero-general heliodoro castillo-el morro
GUERRERO,guerrero-ayutla de los libres-la fatima,guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
GUERRERO,guerrero-cuajinicuilapa-san nicolas,guerrero-cuajinicuilapa-cuajinicuilapa,guerrero-cuajinicuilapa-cuajinicuilapa
GUERRERO,guerrero-coyuca de benitez-posquelitito,guerrero-coyuca de benitez-coyuca de benitez,guerrero-coyuca de benitez-coyuca de benitez
GUERRERO,guerrero-san marcos-estero verde,guerrero-san marcos-san marcos,guerrero-san marcos-san marcos
GUERRERO,guerrero-tlacoapa-el carrizal,guerrero-tlacoapa-tlacoapa,guerrero-tlacoapa-tlacoapa
GUERRERO,guerrero-chilapa de alvarez-tlayelpan,guerrero-chilapa de alvarez-tlayelpa,guerrero-chilapa de alvarez-tlayelpa
GUERRERO,guerrero-teloloapan-oxtotitlan i,guerrero-teloloapan-oxtotitlan,guerrero-teloloapan-oxtotitlan
GUERRERO,guerrero-metlatonoc-colonia moreno,guerrero-metlatonoc-metlatonoc,guerrero-metlatonoc-metlatonoc
GUERRERO,guerrero-malinaltepec-el potrerillo (potrerillo del rincon),guerrero-acapulco de juarez-amatepec,guerrero-acapulco de juarez-amatepec
GUERRERO,guerrero-tlacoapa-tlacotepec,guerrero-tlacoapa-tlacoapa,guerrero-tlacoapa-tlacoapa
GUERRERO,guerrero-tecpan de galeana-ojo de agua,guerrero-tecpan de galeana-el ojo de agua,guerrero-tecpan de galeana-el ojo de agua
GUERRERO,guerrero-tecpan de galeana-ojo de agua,guerrero-tecpan de galeana-el ojo de agua,guerrero-tecpan de galeana-el ojo de agua
GUERRERO,guerrero-pungarabato-monasterio hermanas clsas. de maria madre de la misericordia,guerrero-acapulco de juarez-acapulco de juarez,guerrero-acapulco de juarez-acapulco de juarez
GUERRERO,guerrero-tlalchapa-el aguacate,guerrero-tlalchapa-tlalchapa,guerrero-tlalchapa-tlalchapa
GUERRERO,guerrero-arcelia-reforma de lazaro cardenas (el aterrizaje),guerrero-acapulco de juarez-amatepec,guerrero-acapulco de juarez-amatepec
GUERRERO,guerrero-ayutla de los libres-el paraiso,guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
GUERRERO,guerrero-malinaltepec-rancho viejo,guerrero-malinaltepec-malinaltepec,guerrero-malinaltepec-malinaltepec
GUERRERO,guerrero-chilpancingo de los bravo-azinyahualco (canada de azingehualco),guerrero-chilpancingo de los bravo-azinyahualco (canada de azinyahualco),guerrero-chilpancingo de los bravo-azinyahualco (canada de azinyahualco)
GUERRERO,guerrero-ayutla de los libres-coapinola,guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
GUERRERO,guerrero-tlacoapa-colonia san jose,guerrero-tlacoapa-tlacoapa,guerrero-tlacoapa-tlacoapa
GUERRERO,guerrero-metlatonoc-el coyul,guerrero-metlatonoc-metlatonoc,guerrero-metlatonoc-metlatonoc
GUERRERO,guerrero-ayutla de los libres-ojo de agua (xa'a kava yaa),guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
GUERRERO,guerrero-ayutla de los libres-el platanar (san antonio),guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
GUERRERO,guerrero-ayutla de los libres-el tepuente,guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
GUERRERO,guerrero-ayutla de los libres-chacalapa,guerrero-ayutla de los libres-ayutla de los libres,guerrero-ayutla de los libres-ayutla de los libres
GUERRERO,guerrero-coyuca de benitez-san isidro,guerrero-coyuca de benitez-coyuca de benitez,guerrero-coyuca de benitez-coyuca de benitez
GUERRERO,guerrero-chilpancingo de los bravo-la esperanza,guerrero-chilpancingo de los bravo-chilpancingo de los bravo,guerrero-chilpancingo de los bravo-chilpancingo de los bravo
