ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
MORELOS,morelos-jonacatepec-amacuitlapilco,morelos-amacuzac-xoapa,morelos-amacuzac-xoapa
MORELOS,morelos-tepalcingo-atotonilco,morelos-tepalcingo-tepalcingo,morelos-tepalcingo-tepalcingo
MORELOS,morelos-jonacatepec-tetelilla,morelos-amacuzac-parada de coahuixtla (colonia benito juarez),morelos-amacuzac-parada de coahuixtla (colonia benito juarez)
MORELOS,morelos-jonacatepec-jonacatepec,morelos-jonacatepec de leandro valle-tetelilla,morelos-jonacatepec de leandro valle-tetelilla
MORELOS,morelos-jonacatepec-jonacatepec,morelos-jonacatepec de leandro valle-tetelilla,morelos-jonacatepec de leandro valle-tetelilla
MORELOS,morelos-tlaltizapan de zapata-barranca honda,morelos-tlaltizapan de zapata-tlaltizapan,morelos-tlaltizapan de zapata-tlaltizapan
MORELOS,morelos-tlayacapan-emiliano zapata,morelos-emiliano zapata-emiliano zapata,morelos-emiliano zapata-emiliano zapata
MORELOS,morelos-ayala-abelardo l. rodriguez,morelos-amacuzac-xoapa,morelos-amacuzac-xoapa
MORELOS,morelos-jonacatepec-tlayca,morelos-amacuzac-san gabriel las palmas,morelos-amacuzac-san gabriel las palmas
MORELOS,morelos-ayala-benito juarez,morelos-ayala-2da. seccion benito juarez,morelos-ayala-2da. seccion benito juarez
MORELOS,morelos-coatlan del rio-benito juarez,morelos-coatlan del rio-coatlan del rio,morelos-coatlan del rio-coatlan del rio
MORELOS,morelos-cuernavaca-santa maria,morelos-cuernavaca-cuernavaca,morelos-cuernavaca-cuernavaca
MORELOS,morelos-jonacatepec-colonia juarez,morelos-amacuzac-xoapa,morelos-amacuzac-xoapa
MORELOS,morelos-cuernavaca-lomas de chamilpa,morelos-cuernavaca-cuernavaca,morelos-cuernavaca-cuernavaca
MORELOS,morelos-puente de ixtla-xoxocotla,morelos-puente de ixtla-puente de ixtla,morelos-puente de ixtla-puente de ixtla
MORELOS,morelos-miacatlan-coatetelco,morelos-miacatlan-miacatlan,morelos-miacatlan-miacatlan
MORELOS,morelos-puente de ixtla-colonia apozonalco,morelos-puente de ixtla-puente de ixtla,morelos-puente de ixtla-puente de ixtla
MORELOS,morelos-miacatlan-colonia benito juarez,morelos-miacatlan-miacatlan,morelos-miacatlan-miacatlan
MORELOS,morelos-jonacatepec-campo del barro,morelos-jonacatepec de leandro valle-campo del barro,morelos-jonacatepec de leandro valle-campo del barro
MORELOS,morelos-miacatlan-el muelle,morelos-miacatlan-miacatlan,morelos-miacatlan-miacatlan
MORELOS,morelos-miacatlan-general pedro saavedra,morelos-miacatlan-miacatlan,morelos-miacatlan-miacatlan
MORELOS,morelos-tetela del volcan-hueyapan (san andres hueyapan),morelos-tetela del volcan-tetela del volcan,morelos-tetela del volcan-tetela del volcan
MORELOS,morelos-temixco-lomas del carril,morelos-temixco-temixco,morelos-temixco-temixco
