ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
NAYARIT,nayarit-tepic-jesus maria corte,nayarit-tepic-jesus maria cortes,nayarit-tepic-jesus maria cortes
NAYARIT,nayarit-santa maria del oro-santa maria del oro,nayarit-santa maria del oro-acatitan,nayarit-santa maria del oro-acatitan
NAYARIT,nayarit-acaponeta-el carrizo,nayarit-acaponeta-acaponeta,nayarit-acaponeta-acaponeta
NAYARIT,nayarit-jala-santa fe,nayarit-jala-jala,nayarit-jala-jala
NAYARIT,nayarit-santiago ixcuintla-santa rosa,nayarit-santiago ixcuintla-santiago ixcuintla,nayarit-santiago ixcuintla-santiago ixcuintla
NAYARIT,nayarit-compostela-el duende,nayarit-compostela-compostela,nayarit-compostela-compostela
NAYARIT,nayarit-ixtlan del rio-el aguacate,nayarit-ixtlan del rio-ixtlan del rio,nayarit-ixtlan del rio-ixtlan del rio
NAYARIT,nayarit-tepic-san cayetano,nayarit-tepic-tepic,nayarit-tepic-tepic
NAYARIT,nayarit-ahuacatlan-ojo de agua,nayarit-ahuacatlan-ahuacatlan,nayarit-ahuacatlan-ahuacatlan
NAYARIT,nayarit-la yesca-mesa del guanacaste,nayarit-la yesca-mesa de guanacaste,nayarit-la yesca-mesa de guanacaste
NAYARIT,nayarit-xalisco-el malinal,nayarit-xalisco-xalisco,nayarit-xalisco-xalisco
