ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
OAXACA,oaxaca-villa de tututepec de melchor ocampo-villa de tututepec de melchor ocampo,oaxaca-abejones-abejones,oaxaca-abejones-abejones
OAXACA,oaxaca-villa de tututepec de melchor ocampo-rio grande o piedra parada,oaxaca-villa de tututepec-rio grande o piedra parada,oaxaca-villa de tututepec-rio grande o piedra parada
OAXACA,oaxaca-villa hidalgo-villa hidalgo,oaxaca-villa hidalgo-tras del cerro,oaxaca-villa hidalgo-tras del cerro
OAXACA,oaxaca-santiago yaveo-la trinidad,oaxaca-santiago yaveo-santiago yaveo,oaxaca-santiago yaveo-santiago yaveo
OAXACA,oaxaca-heroica ciudad de tlaxiaco-colonia adolfo lopez mateos,oaxaca-heroica ciudad de tlaxiaco-heroica ciudad de tlaxiaco,oaxaca-heroica ciudad de tlaxiaco-heroica ciudad de tlaxiaco
OAXACA,oaxaca-santo tomas ocotepec-benito juarez,oaxaca-santo tomas ocotepec-santo tomas ocotepec,oaxaca-santo tomas ocotepec-santo tomas ocotepec
OAXACA,oaxaca-san miguel tlacamama-el zapote,oaxaca-san miguel tlacamama-san miguel tlacamama,oaxaca-san miguel tlacamama-san miguel tlacamama
OAXACA,oaxaca-san juan bautista tuxtepec-el porvenir,oaxaca-san juan bautista tuxtepec-san juan bautista tuxtepec,oaxaca-san juan bautista tuxtepec-san juan bautista tuxtepec
OAXACA,oaxaca-santiago chazumba-santo domingo tianguistengo,oaxaca-villa de santiago chazumba-santo domingo tianguistengo,oaxaca-villa de santiago chazumba-santo domingo tianguistengo
OAXACA,oaxaca-san juan bautista tuxtepec-san bartolo,oaxaca-san juan bautista tuxtepec-san juan bautista tuxtepec,oaxaca-san juan bautista tuxtepec-san juan bautista tuxtepec
OAXACA,oaxaca-heroica ciudad de tlaxiaco-la union,oaxaca-heroica ciudad de tlaxiaco-heroica ciudad de tlaxiaco,oaxaca-heroica ciudad de tlaxiaco-heroica ciudad de tlaxiaco
OAXACA,oaxaca-santa maria yosoyua-buenavista,oaxaca-santa maria yosoyua-santa maria yosoyua,oaxaca-santa maria yosoyua-santa maria yosoyua
