ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
PUEBLA,puebla-soltepec-la ermita,puebla-soltepec-soltepec,puebla-soltepec-soltepec
PUEBLA,puebla-zautla-emiliano zapata,puebla-zautla-zautla,puebla-zautla-zautla
PUEBLA,puebla-guadalupe victoria-guadalupe victoria,puebla-amozoc-guadalupe victoria (guadalupe del moral),puebla-amozoc-guadalupe victoria (guadalupe del moral)
PUEBLA,puebla-tepeaca-vicente guerrero,puebla-tepeaca-tepeaca,puebla-tepeaca-tepeaca
PUEBLA,puebla-canada morelos-cerro gordo,puebla-canada morelos-morelos canada,puebla-canada morelos-morelos canada
PUEBLA,puebla-canada morelos-cerro gordo,puebla-canada morelos-morelos canada,puebla-canada morelos-morelos canada
PUEBLA,puebla-san nicolas buenos aires-emilio portes gil,puebla-san nicolas buenos aires-san nicolas buenos aires,puebla-san nicolas buenos aires-san nicolas buenos aires
PUEBLA,puebla-ajalpan-tecpantzacoalco,puebla-ajalpan-tecpantzacualco,puebla-ajalpan-tecpantzacualco
PUEBLA,puebla-ajalpan-la escondida,puebla-acatlan-agua escondida,puebla-acatlan-agua escondida
PUEBLA,puebla-soltepec-vista hermosa,puebla-soltepec-soltepec,puebla-soltepec-soltepec
PUEBLA,puebla-canada morelos-temaxcalapa,puebla-canada morelos-morelos canada,puebla-canada morelos-morelos canada
PUEBLA,puebla-canada morelos-temaxcalapa,puebla-canada morelos-morelos canada,puebla-canada morelos-morelos canada
PUEBLA,puebla-vicente guerrero-rancho nuevo,puebla-acajete-acajete,puebla-acajete-acajete
PUEBLA,puebla-chalchicomula de sesma-alvaro obregon,puebla-acajete-acajete,puebla-acajete-acajete
PUEBLA,puebla-chichiquila-ojo de agua,puebla-chichiquila-chichiquila,puebla-chichiquila-chichiquila
PUEBLA,puebla-guadalupe victoria-el progreso,puebla-guadalupe-guadalupe,puebla-guadalupe-guadalupe
PUEBLA,puebla-libres-la canada,puebla-libres-la concha,puebla-libres-la concha
PUEBLA,puebla-libres-la canada,puebla-libres-la concha,puebla-libres-la concha
PUEBLA,puebla-soltepec-colonia benito juarez,puebla-yehualtepec-benito juarez [colonia],puebla-yehualtepec-benito juarez [colonia]
PUEBLA,puebla-quimixtlan-ahuatla,puebla-quimixtlan-quimixtlan,puebla-quimixtlan-quimixtlan
PUEBLA,puebla-quimixtlan-ahuatla,puebla-quimixtlan-quimixtlan,puebla-quimixtlan-quimixtlan
PUEBLA,puebla-tepeyahualco-san antonio,puebla-tepeyahualco-tepeyahualco,puebla-tepeyahualco-tepeyahualco
PUEBLA,puebla-ajalpan-rancho nuevo,puebla-jopala-rancho nuevo,puebla-jopala-rancho nuevo
PUEBLA,puebla-santiago miahuatlan-el carmen,puebla-santiago miahuatlan-santiago miahuatlan,puebla-santiago miahuatlan-santiago miahuatlan
PUEBLA,puebla-canada morelos-buena vista,puebla-canada morelos-morelos canada,puebla-canada morelos-morelos canada
PUEBLA,puebla-canada morelos-buena vista,puebla-canada morelos-morelos canada,puebla-canada morelos-morelos canada
PUEBLA,puebla-chichiquila-el rosario,puebla-chichiquila-chichiquila,puebla-chichiquila-chichiquila
PUEBLA,puebla-quimixtlan-analco,puebla-quimixtlan-quimixtlan,puebla-quimixtlan-quimixtlan
PUEBLA,puebla-quimixtlan-analco,puebla-quimixtlan-quimixtlan,puebla-quimixtlan-quimixtlan
PUEBLA,puebla-chichiquila-el palmar,puebla-chichiquila-chichiquila,puebla-chichiquila-chichiquila
PUEBLA,puebla-tepanco de lopez-francisco i. madero,puebla-tepanco de lopez-tepanco de lopez,puebla-tepanco de lopez-tepanco de lopez
PUEBLA,puebla-tepanco de lopez-francisco i. madero,puebla-tepanco de lopez-tepanco de lopez,puebla-tepanco de lopez-tepanco de lopez
PUEBLA,puebla-quimixtlan-buenavista,puebla-quimixtlan-quimixtlan,puebla-quimixtlan-quimixtlan
PUEBLA,puebla-quimixtlan-buenavista,puebla-quimixtlan-quimixtlan,puebla-quimixtlan-quimixtlan
PUEBLA,puebla-huejotzingo-santiago mextla,puebla-huejotzingo-huejotzingo,puebla-huejotzingo-huejotzingo
PUEBLA,puebla-huejotzingo-santiago mextla,puebla-huejotzingo-huejotzingo,puebla-huejotzingo-huejotzingo
PUEBLA,puebla-tecamachalco-la soledad,puebla-tecamachalco-tecamachalco,puebla-tecamachalco-tecamachalco
PUEBLA,puebla-puebla-guadalupe,puebla-acatlan-barrio de guadalupe,puebla-acatlan-barrio de guadalupe
PUEBLA,puebla-tlacotepec de benito juarez-guadalupe victoria,puebla-tlacotepec de benito juarez-tlacotepec de benito juarez,puebla-tlacotepec de benito juarez-tlacotepec de benito juarez
PUEBLA,puebla-tlacotepec de benito juarez-guadalupe victoria,puebla-tlacotepec de benito juarez-tlacotepec de benito juarez,puebla-tlacotepec de benito juarez-tlacotepec de benito juarez
PUEBLA,puebla-chalchicomula de sesma-cuatepasole,puebla-acajete-acajete,puebla-acajete-acajete
