ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
TLAXCALA,tlaxcala-huamantla-benito juarez,tlaxcala-huamantla-huamantla,tlaxcala-huamantla-huamantla
TLAXCALA,tlaxcala-atltzayanca-san jose buenavista,tlaxcala-apetatitlan de antonio carvajal-belen atzitzimititlan,tlaxcala-apetatitlan de antonio carvajal-belen atzitzimititlan
TLAXCALA,tlaxcala-calpulalpan-calpulalpan,tlaxcala-calpulalpan-amantla,tlaxcala-calpulalpan-amantla
TLAXCALA,tlaxcala-atltzayanca-lazaro cardenas,tlaxcala-lazaro cardenas-lazaro cardenas,tlaxcala-lazaro cardenas-lazaro cardenas
TLAXCALA,tlaxcala-tlaxco-colonia maximo rojas xalostoc,tlaxcala-tlaxco-maximo rojas xalostoc,tlaxcala-tlaxco-maximo rojas xalostoc
TLAXCALA,tlaxcala-emiliano zapata-emiliano zapata,tlaxcala-emiliano zapata-ahilitla,tlaxcala-emiliano zapata-ahilitla
TLAXCALA,tlaxcala-ixtenco-barrio de resurreccion segundo,tlaxcala-atlangatepec-zumpango,tlaxcala-atlangatepec-zumpango
TLAXCALA,tlaxcala-huamantla-lazaro cardenas,tlaxcala-huamantla-huamantla,tlaxcala-huamantla-huamantla
TLAXCALA,tlaxcala-tlaxco-colonia profesor graciano sanchez,tlaxcala-atlangatepec-zumpango,tlaxcala-atlangatepec-zumpango
TLAXCALA,tlaxcala-huamantla-ignacio zaragoza,tlaxcala-huamantla-huamantla,tlaxcala-huamantla-huamantla
TLAXCALA,tlaxcala-tlaxco-tlaxco,tlaxcala-tlaxco-la candelaria,tlaxcala-tlaxco-la candelaria
TLAXCALA,tlaxcala-tlaxco-las mesas [rancheria],tlaxcala-tlaxco-las mesas,tlaxcala-tlaxco-las mesas
TLAXCALA,tlaxcala-apizaco-jose maria morelos,tlaxcala-apetatitlan de antonio carvajal-belen atzitzimititlan,tlaxcala-apetatitlan de antonio carvajal-belen atzitzimititlan
TLAXCALA,tlaxcala-terrenate-nicolas bravo,tlaxcala-terrenate-terrenate,tlaxcala-terrenate-terrenate
TLAXCALA,tlaxcala-calpulalpan-la soledad,tlaxcala-calpulalpan-el convento de la soledad,tlaxcala-calpulalpan-el convento de la soledad
