ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
ZACATECAS,zacatecas-trancoso-el porvenir,zacatecas-zacatecas-zacatecas,zacatecas-zacatecas-zacatecas
ZACATECAS,zacatecas-guadalupe-guadalupe,zacatecas-calera-guadalupe guerrero,zacatecas-calera-guadalupe guerrero
ZACATECAS,zacatecas-rio grande-los condes,zacatecas-rio grande-los conde,zacatecas-rio grande-los conde
ZACATECAS,zacatecas-ojocaliente-el refugio,zacatecas-ojocaliente-ojocaliente,zacatecas-ojocaliente-ojocaliente
ZACATECAS,zacatecas-general francisco r. murguia-el carrizal,zacatecas-general francisco r. murguia-el paraiso,zacatecas-general francisco r. murguia-el paraiso
ZACATECAS,zacatecas-zacatecas-san miguel,zacatecas-apozol-san miguel (atotonilco),zacatecas-apozol-san miguel (atotonilco)
ZACATECAS,zacatecas-general panfilo natera-el tule,zacatecas-general panfilo natera-general panfilo natera,zacatecas-general panfilo natera-general panfilo natera
ZACATECAS,zacatecas-ojocaliente-dolores,zacatecas-ojocaliente-ojocaliente,zacatecas-ojocaliente-ojocaliente
ZACATECAS,zacatecas-ojocaliente-buenavista,zacatecas-ojocaliente-ojocaliente,zacatecas-ojocaliente-ojocaliente
ZACATECAS,zacatecas-tepetongo-buenavista,zacatecas-tepetongo-tepetongo,zacatecas-tepetongo-tepetongo
ZACATECAS,zacatecas-concepcion del oro-el durazno,zacatecas-concepcion del oro-concepcion del oro,zacatecas-concepcion del oro-concepcion del oro
ZACATECAS,zacatecas-sain alto-luis moya,zacatecas-luis moya-luis moya,zacatecas-luis moya-luis moya
ZACATECAS,zacatecas-vetagrande-santa rita,zacatecas-vetagrande-vetagrande,zacatecas-vetagrande-vetagrande
ZACATECAS,zacatecas-general panfilo natera-rancho nuevo,zacatecas-general panfilo natera-general panfilo natera,zacatecas-general panfilo natera-general panfilo natera
ZACATECAS,zacatecas-jimenez del teul-atotonilco,zacatecas-jimenez del teul-jimenez del teul,zacatecas-jimenez del teul-jimenez del teul
ZACATECAS,zacatecas-rio grande-lerdo de tejada (san sebastian lerdo),zacatecas-rio grande-sebastian lerdo de tejada (el jijiote),zacatecas-rio grande-sebastian lerdo de tejada (el jijiote)
ZACATECAS,zacatecas-villa hidalgo-villa hidalgo,zacatecas-atolinga-villa hidalgo,zacatecas-atolinga-villa hidalgo
ZACATECAS,zacatecas-villa hidalgo-santa rita,zacatecas-zacatecas-zacatecas,zacatecas-zacatecas-zacatecas
ZACATECAS,zacatecas-chalchihuites-colonia lazaro cardenas,zacatecas-chalchihuites-chalchihuites,zacatecas-chalchihuites-chalchihuites
ZACATECAS,zacatecas-melchor ocampo-san miguel,zacatecas-melchor ocampo-melchor ocampo,zacatecas-melchor ocampo-melchor ocampo
ZACATECAS,zacatecas-calera-el porvenir,zacatecas-zacatecas-zacatecas,zacatecas-zacatecas-zacatecas
ZACATECAS,zacatecas-villa garcia-las cruces,zacatecas-villa garcia-villa garcia,zacatecas-villa garcia-villa garcia
ZACATECAS,zacatecas-trinidad garcia de la cadena-trinidad garcia de la cadena,zacatecas-trinidad garcia de la cadena-la estanzuela,zacatecas-trinidad garcia de la cadena-la estanzuela
ZACATECAS,zacatecas-villa garcia-union y progreso,zacatecas-villa garcia-villa garcia,zacatecas-villa garcia-villa garcia
ZACATECAS,zacatecas-villa hidalgo-cerro prieto,zacatecas-zacatecas-zacatecas,zacatecas-zacatecas-zacatecas
ZACATECAS,zacatecas-villa de cos-agua nueva,zacatecas-villa de cos-villa de cos,zacatecas-villa de cos-villa de cos
ZACATECAS,zacatecas-sombrerete-buenavista,zacatecas-sombrerete-sombrerete,zacatecas-sombrerete-sombrerete
